Country,WHO Region,Population,Geographical Region,WHO Group,DALY,Adult DALYs,Children DALYs,Retention Rate,Retention Rate (ADULT),Retention Rate (CHILD),# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,Estimated adults (15+) living with HIV,Estimated children (0-14) living with HIV,# Adult Prevalent Cases Receiving Treatment,# Children Prevalent Cases Receiving Treatment,3TC,ABC,AZT,ddl,d4T,EFV,FTC,LPV/r,NVP,TDF,ATV/r,Overall Treatment Impact,,,,,,average of 2013 antiretroviral treatment. ,,,Treatment Regimen Proportion and Efficacy Section,,,,,impact =daly*treatment cover*x/(1-treatment cover*x)/number of drugs,,,,,,Originator Company,Drug(s),Final Impact,,,,,Afghanistan,"9,224.37",Afghanistan,"1,528.18",,Afghanistan,500,26,11.00%,,,All ages,Children (0-14),Adults (15+),Year,,http://apps.who.int/gho/data/node.main.626?lang=en,Estimated antiretroviral therapy coverage among people living with HIV (%),Reported number of people receiving antiretroviral therapy,Cleaned coverage,Cleaned number of people receiving antiretroviral therapy,Computed Impact Score (3TC),Computed Impact Score (ABC),Computed Impact Score (AZT),Computed Impact Score (ddl),Computed Impact Score (d4T),Computed Impact Score (EFV),Computed Impact Score (FTC),Computed Impact Score (LPV/r),Computed Impact Score (NVP),Computed Impact Score (TDF),Computed Impact Score (ATV/r),Computed Overall Treatment Impact
Aruba,AMR,"104,341.00",,B,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bhutan,Grenada,,,,,,d4T + 3TC + NVP,0.0000,0.8430,0.0300,0.8430,3,0.00,0.02,,,,,,,,,,,Austria,"2,459.37",Azerbaijan,54.72,,Bahrain,,,,,,87,,,2015,,Azerbaijan,28 [20-39],3 033,28.00%,"3,033.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,WPR,"23,789,338.00",,A,"4,843.38","4,679.18",164.20,97.14,97.14,97.14,"24,169.00","26,854",90.00%,"24,150","26,754",90.27%,19.00,100.00,90%,"2,261",,"2,040.72",,28.29,0.42,10.59,0.01,0.05,21.62,7.62,2.33,11.58,25.57,0.39,108.46,,Bosnia and Herzegovina,Guatemala,,,,,,d4T + 3TC + LPV/r,0.0000,0.7512,0.0200,0.5000,3,0.00,0.01,,,,"Treatment Coverage By Region, Age Group & Sex (2010 data)",,,,"% Necessary for missing data (Columns K, N, Q)",,,Azerbaijan,"4,968.92",Bahrain,26.57,,Bangladesh,500,90,31.00%,,,100,,,2015,,Bahamas,37 [34-41],2 992,37.00%,"2,992.00",28.295799219153768,0.4187536011049671,10.58983182431801,0.009248199064624821,0.04771643353021708,21.623936622124727,7.616275460040611,2.3271971194926344,11.5803536218633,25.129111983833102,0.38857661089224355,108.0268006954182
Austria,EUR,"8,633,169.00",Europe and Central Asia,A,"2,459.37","2,459.37",0.00,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,"11,491",15,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Botswana,Guyana,,,,Adults 1st line,77.68%,AZT + 3TC + LPV/r,0.0000,0.5000,0.0200,0.5000,3,0.00,0.01,,,,Region,Overall,Children,Women,Overall,Children,,Bahrain,983.65,Bangladesh,"1,215.90",,Barbados,,8,,,,77,75,77,2015,,Bahrain,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,EUR,"9,649,341.00",Europe and Central Asia,A,"5,023.64","4,968.92",54.72,91.00,91.00,90.00,"3,033.00","10,832",28.00%,"2,960","10,732",27.58%,73.00,100.00,83%,"9,900",650,"2,730.49",539.75,25.93,0.41,9.97,0.01,0.05,19.37,7.0,2.33,10.85,23.24,0.4,99.55,,Bulgaria,Haiti,,,,Adults 2nd line,71.95%,TDF + 3TC + NVP,0.0000,0.7500,0.0100,0.6550,3,0.00,0.01,,,,Global,47.00%,23.00%,48.00%,36.37%,22.35%,,Bangladesh,"13,423.63",Barbados,60.37,,Belarus,500,218,94.00%,,,100,,100,2015,,Bangladesh,15 [13-18],1 483,15.00%,"1,483.00",25.93279866378592,0.4086080404976139,9.968875944736492,0.00894188953105847,0.04608933094488265,19.375274879173116,7.002132126026218,2.328730621737643,10.842845278956588,22.789119846987333,0.3958046799182616,99.09922130229512
Bahamas,AMR,"386,838.00",,B,0.00,0.00,0.00,91.00,91.00,97.14,"2,992.00","8,086",37.00%,"2,943","7,986",36.85%,49.00,100.00,89%,"6,800",58,"2,505.78",51.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Burkina Faso,Honduras,,,,Children 1st line,68.88%,,,,,,,,,,,,Sub-Saharan Africa,49.00%,21.00%,50.00%,35.84%,0.00%,,Barbados,"1,087.00",Belarus,55.90,,Belgium,,,,,,77,,77,2015,,Barbados,43 [40-47],1 139,43.00%,"1,139.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,EMR,"1,371,855.00",,A,"1,010.22",983.65,26.57,48.00,48.00,97.14,,,36.37%,,,36.37%,,,,,,,,38.03,0.15,14.14,0.0,0.0,29.42,10.71,3.19,15.53,35.53,0.6,147.31,,Burundi,Jamaica,,,,Children 2nd line,71.00%,second line Regimens,Adult proportion,Adult efficacy,Children proportion,Children efficacy,number of drugs,adult x,child x,,,,Eastern & Southern Africa,56.00%,26.00%,64.00%,36.37%,22.35%,,Belarus,"25,524.06",Belgium,138.21,,Belize,200,90,80.00%,,,78,71,78,2015,,Belarus,20 [16-24],7 392,20.00%,"7,392.00",38.03352581268944,0.1518201394567958,14.144877344726913,0.0,0.0,29.424044600421436,10.710342611219257,3.1922857387329358,15.53034945553397,34.85280491329161,0.597188629220336,146.63723924529268
Bangladesh,SEA,"161,200,886.00","East, South and South-East Asia",A,"14,639.53","13,423.63","1,215.90",80.00,79.00,90.00,"1,483.00","9,887",15.00%,"1,393","9,387",14.84%,90.00,500.00,31%,"6,800","15,079","1,009.13","4,674.47",96.37,5.81,40.35,0.16,0.84,64.0,22.17,10.71,42.69,74.03,1.28,358.42,,Cambodia,Mexico,,,,Weighted average,76.73%,TDF + 3TC + LPV/r,0.4500,0.8300,0.2400,0.8300,3,0.03,0.02,,,,Western & Central Africa,30.00%,9.00%,18.00%,36.37%,22.35%,,Belgium,"2,829.54",Belize,374.14,,Benin,"4,800","1,845",39.00%,,,90,93,90,2015,,Belgium,High-income country,No data,,,96.31201350195487,5.795302759641486,40.29374660385532,0.16459431023430304,0.8420681835351992,63.998692666402505,22.17204326084417,10.699056362537728,42.65055593450204,72.58535752984913,1.2779390157763602,356.79137012913316
Barbados,AMR,"284,217.00",,B,"1,147.37","1,087.00",60.37,82.00,82.00,97.14,"1,139.00","2,649",43.00%,"1,131","2,649",42.70%,8.00,,,"1,400",42,597.77,0.00,17.26,0.07,6.4,0.0,0.0,13.38,4.86,1.44,7.03,16.13,0.27,66.84,,Cameroon,Nicaragua,,,,,,AZT + 3TC + LPV/r,0.2000,0.5000,0.1800,0.5000,3,0.01,0.01,,,,Latin America and the Caribbean,63.00%,39.00%,59.00%,100.00%,100.00%,,Belize,"4,533.94",Benin,"35,926.87",,Bhutan,,,,,,79,84,78,2015,,Belize,46 [41-52],1 639,46.00%,"1,639.00",17.26108469610647,0.0681885675290004,6.403044107220398,0.0,0.0,13.381945472939679,4.859426969255142,1.4359771729703155,7.0343285891143905,15.831504514013249,0.268260430337225,66.54376051948586
Belarus,EUR,"9,489,616.00",Europe and Central Asia,A,"25,579.96","25,524.06",55.90,87.00,97.14,97.14,"7,392.00","36,960",20.00%,"7,174","36,460",19.68%,218.00,500.00,94%,"22,000",640,"4,328.80",601.17,131.78,1.05,49.84,0.01,0.08,100.31,36.61,11.52,54.48,121.23,2.09,509.0,,Cape Verde,Panama,,,,,,TDF + 3TC + ATV/r,0.0900,0.6500,0.0000,0.6500,3,0.01,0.00,,,,Latin America,64.00%,44.00%,64.00%,36.37%,22.35%,,Benin,"102,444.20",Bermuda,10.71,,Bolivia (Plurinational State of),500,173,48.00%,,,60,,,2015,,Benin,49 [38-65],33 602,49.00%,"33,602.00",131.80906140779834,1.0516727469371288,49.848339399687816,0.014949373651988765,0.07717656836373694,100.33397476607323,36.614923011673774,11.522706745418956,54.485272135118485,118.88445691808273,2.0949451859877413,506.7374782587939
Belgium,EUR,"11,274,196.00",Europe and Central Asia,A,"2,967.75","2,829.54",138.21,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,"15,006",20,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Central African Republic,Paraguay,,,,,,TDF + FTC + LPV/r,0.0800,0.6520,0.0000,0.7125,3,0.00,0.00,,,,The Caribbean,60.00%,25.00%,46.00%,36.37%,22.35%,,Bermuda,412.58,Bhutan,221.06,,Bosnia and Herzegovina,,1,,,,96,97,96,2015,,Bhutan,No data,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,AMR,"359,288.00",Latin America and the Caribbean,B,"4,908.08","4,533.94",374.14,97.14,97.14,97.14,"1,639.00","3,563",46.00%,"1,549","3,363",46.06%,90.00,200.00,80%,"2,800",27,"1,289.67",21.97,14.65,0.69,6.04,0.02,0.1,10.05,3.49,1.48,6.44,11.68,0.19,54.83,,Chad,Peru,,,,,,AZT + 3TC + ATV/r,0.0300,0.7570,0.0000,0.7570,3,0.00,0.00,,,,"East, South and South-East Asia",39.00%,39.00%,16.00%,25.18%,45.37%,,Bhutan,704.68,Bolivia,23.28,,Botswana,"8,500","8,490",95.00%,,,97,,97,2015,,Bolivia (Plurinational State of),29 [18-39],5 274,29.00%,"5,274.00",14.643511495350998,0.6922686273347025,6.031156941483938,0.01872424917758923,0.09646890399333581,10.04877358775393,3.4929873452706066,1.4811806030489998,6.430920836298306,11.465619854819897,0.1917992035403853,54.59341164807268
Benin,AFR,"10,575,952.00",Sub-Saharan Africa,A,"138,371.07","102,444.20","35,926.87",97.14,97.14,97.14,"33,602.00","68,576",49.00%,"31,757","63,776",49.79%,"1,845.00","4,800.00",39%,"61,000","9,400","30,374.94","3,666.00",400.56,30.52,171.85,0.87,4.48,256.0,85.84,46.0,180.47,289.01,4.68,1470.3,,China,Saint Lucia,,,,,,ABC + 3TC + LPV/r,0.0300,0.6300,0.2400,0.6300,3,0.00,0.02,,,,Europe and Central Asia,23.00%,65.00%,79.00%,0.00%,100.00%,,Bolivia,"4,419.86",Bosnia and Herzegovina,3.25,,Brazil,"7,500","5,657",76.00%,,,87,89,87,2015,,Bosnia and Herzegovina,No data,126,,126.00,400.2350597257074,30.43422610637542,171.52843956518868,0.8751933129070087,4.482615984722219,255.9845557576395,85.83828098377035,45.92942864744387,180.2301109161891,283.68615202452236,4.685295312543995,1463.90935833701
Bermuda,AMR,"65,235.00",,B,423.29,412.58,10.71,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.88,0.0,0.33,0.0,0.0,0.68,0.25,0.07,0.36,0.82,0.01,3.4,,Comoros,Saint Vincent and the Grenadines,,,,,,AZT + 3TC + TDF + LPV/r,0.0200,0.7785,0.0000,0.8340,4,0.00,0.00,,,,Middle East and North Africa,10.00%,5.00%,4.00%,0.00%,0.00%,,Bosnia and Herzegovina,137.42,Botswana,"44,678.92",,Brunei Darussalam,,,,,,68,66,68,2015,,Botswana,78 [73-83],272 972,78.00%,"272,972.00",0.8773984286981823,0.0035023508590857153,0.3263092992617381,0.0,0.0,0.6787856225977767,0.24707774462413074,0.073643093330711,0.35827086546030734,0.8040221255649079,0.01377659193351796,3.3827861223303577
Bhutan,SEA,"787,386.00","East, South and South-East Asia",A,925.74,704.68,221.06,97.14,97.14,97.14,,,25.18%,,,25.18%,,,,"1,000",65,251.80,0.00,1.02,0.0,0.38,0.0,0.0,0.79,0.29,0.09,0.42,0.95,0.02,3.95,,Cote d'Ivoire,Suriname,,,,,,TDF + FTC + ATV/r,0.0200,0.7942,0.0000,0.7942,3,0.00,0.00,,,,,,,,,,,Botswana,"411,632.00",Brazil,"46,066.48",,Bulgaria,,5,,,,76,,,2015,,Brazil,55 [41-74],457 886,55.00%,"457,886.00",1.0188370404784202,0.004140816994055234,0.38056134037264183,0.0,0.0,0.7853297861799583,0.28701174434984866,0.08683395333559166,0.41740119669745773,0.9322059163101504,0.016283848615261463,3.9286056433333854
Bolivia,AMR,"10,724,705.00",Latin America and the Caribbean,B,"4,443.14","4,419.86",23.28,97.14,97.14,97.14,,,36.37%,,,100.00%,,,,"16,000",820,"16,000.00",0.00,28.96,0.1,10.45,0.0,0.0,22.92,8.11,2.2,11.54,27.25,0.41,111.94,,Democratic Republic of the Congo,,,,,,,ABC + 3TC + ATV/r,0.0100,0.7785,0.0000,0.8340,3,0.00,0.00,,,,,,,,,,,Brazil,"910,360.70",Brunei,7.10,,Burkina Faso,"7,700","2,349",31.00%,,,93,100,93,2015,,Brunei Darussalam,High-income country,No data,,,28.96175786067965,0.10325567416763068,10.452132941516771,0.0,0.0,22.91787083337476,8.109330504179754,2.205146820724991,11.541318542434464,26.792172747050575,0.4067521683251895,111.48973809245378
"Bonaire, Saint Eustatius and Saba",AMR,,,B,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Djibouti,,,,,,,Others,0.0700,0.7785,0.1200,0.8340,,0.00,0.01,,,,,,,,,,,Brunei,154.30,Bulgaria,111.40,,Burundi,"9,100","2,654",29.00%,,,96,100,96,2015,,Bulgaria,No data,824,,824.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,EUR,"3,535,961.00",Europe and Central Asia,A,140.67,137.42,3.25,97.14,97.14,97.14,126.00,,0.00%,125,,0.00%,1.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Egypt,,,,,,,AZT + ddl + LPV/r,0.0000,0.7785,0.0500,0.8340,3,0.00,0.00,,,,,,,,,,,Bulgaria,"2,487.55",Burkina Faso,"53,458.29",,Cabo Verde,200,65,47.00%,,,86,,,2015,,Burkina Faso,55 [45-67],52 304,55.00%,"52,304.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,AFR,"2,209,197.00",Sub-Saharan Africa,A,"456,310.92","411,632.00","44,678.92",97.14,97.14,97.14,"272,972.00","349,964",78.00%,"264,482","341,464",77.46%,"8,490.00","8,500.00",95%,"310,000","11,000","240,111.39","10,450.00",2332.29,99.98,947.07,2.66,13.72,1630.74,562.14,223.15,1013.53,1889.84,29.3,8744.41,,Eritrea,,,,,,,AZT + 3TC + IDV/r,0.0000,0.7785,0.0400,0.8340,3,0.00,0.00,,,,,,,,,,,Burkina Faso,"134,589.20",Burundi,"58,894.30",,Cambodia,,,,,,86,67,86,2015,,Burundi,54 [43-65],42 169,54.00%,"42,169.00",2331.6608947765744,99.72552922422311,946.1846632362393,2.6567361017103943,13.71746450194399,1630.9361658796147,562.1969346566306,222.98869099397194,1012.909525664762,1856.8100928709255,29.318539378156828,8709.105237284752
Brazil,AMR,"205,962,108.00",Latin America and the Caribbean,B,"956,427.18","910,360.70","46,066.48",77.00,77.00,97.14,"457,886.00","832,520",55.00%,"452,229","825,020",54.81%,"5,657.00","7,500.00",76%,"557,400","15,741","305,534.95","11,963.16",26289.59,698.93,10268.91,17.6,90.67,19233.0,6809.37,2405.37,11107.32,22729.25,368.48,100018.5,,Ethiopia,,,,,,,AZT + 3TC + EFV + LPV/r,0.0000,0.7785,0.0400,0.8340,4,0.00,0.00,,,,,,,,,,,Burundi,"156,313.80",Cambodia,"9,475.15",,Cameroon,"39,000","7,096",18.00%,,,100,,100,2015,,C̫te d'Ivoire,35 [30-40],161 173,35.00%,"161,173.00",26283.392893941527,697.2401026090347,10262.21439677799,17.610684511113032,90.67937726188876,19232.272609946875,6809.04766152554,2404.599661675673,11102.123527570622,22310.37453444501,368.65815357916176,99578.21360384444
British Virgin Islands,AMR,"30,113.00",,B,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Fiji,,,,,,,ABC + ddl + LPV/r,0.0000,0.6520,0.0300,0.6520,3,0.00,0.00,,,,,,,,,,,Cambodia,"117,498.30",Cameroon,"282,119.70",,Canada,,,,,,95,99,95,2015,,Cabo Verde,42 [35-51],1 355,42.00%,"1,355.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,WPR,"417,542.00",,A,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Gabon,,,,,,,d4T + 3TC + NVP,0.0000,0.8430,0.0200,0.8430,3,0.00,0.00,,,,,,,,,,,Cameroon,"1,534,503.00",Canada,300.63,,Central African Republic,"9,400","2,403",25.00%,,,80,94,80,2015,,Cambodia,74 [67-82],54 929,74.00%,"54,929.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,EUR,"7,177,991.00",Europe and Central Asia,A,"2,598.95","2,487.55",111.40,78.00,78.00,71.00,824.00,,0.00%,819,,0.00%,5.00,,,"9,554",13,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Gambia,,,,,,,AZT + 3TC + NVP,0.0000,0.8193,0.0200,0.8193,3,0.00,0.00,,,,,,,,,,,Canada,"16,082.53",Cape Verde,286.20,,Chad,"18,000","3,838",22.00%,,,83,63,83,2015,,Cameroon,27 [24-30],168 249,27.00%,"168,249.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
